row_id,id,label,label_name,channel,category,subcategory,subject,body,raw_text,model_text,reason,requested_action,length_bucket,typo_level,obfuscation_type,url_type,attachment_flag,language_style,tone,template_group_id,pair_id,source_type,source_note,generation_batch,review_status,char_length,email_format,hard_negative_flag,template_family_id,generation_model,prompt_family,auto_audit_status,split_group_id,split,change_type,change_reason
11,EMAIL_N11_AUTH_034,0,normal,email,N11_인증_로그인_계정알림,새 기기·로그인 알림,생체 인증 등록 안내,사내 출입 시스템에 생체 인증을 등록해 주세요. 등록은 총무팀 창구에서 진행합니다. 감사합니다.,"제목: 생체 인증 등록 안내
본문: 사내 출입 시스템에 생체 인증을 등록해 주세요. 등록은 총무팀 창구에서 진행합니다. 감사합니다.","제목: 생체 인증 등록 안내
본문: 사내 출입 시스템에 생체 인증을 등록해 주세요. 등록은 총무팀 창구에서 진행합니다. 감사합니다.",정상 생체인증 등록 안내,information,31-80,none,none,none,False,korean,formal,TFAM_03603_G01,,ai_generated,"Claude batch N11_01, prompt version 2.0",N11_01,pending,73,subject_body,False,TFAM_03603,Claude,,auto_pass,SGRP_03258,train,unchanged,
12,EMAIL_N15D_UPD_017,0,normal,email,N15_뉴스레터_프로모션,제품 업데이트·프로모션,업데이트 노트 안내,이번 업데이트의 상세 노트를 안내드립니다. 바쁘시겠지만 확인 부탁드립니다.,"제목: 업데이트 노트 안내
본문: 이번 업데이트의 상세 노트를 안내드립니다. 바쁘시겠지만 확인 부탁드립니다.","제목: 업데이트 노트 안내
본문: 이번 업데이트의 상세 노트를 안내드립니다. 바쁘시겠지만 확인 부탁드립니다.",정상 업데이트 노트,information,31-80,none,none,none,False,korean_english,formal,TFAM_04274_G01,,ai_generated,"Claude batch N15_04, prompt version 2.0",N15_04,pending,60,subject_body,False,TFAM_04274,Claude,,auto_pass,SGRP_03908,valid,unchanged,
13,EMAIL_S07_JOB_018,1,spam_or_fraud,email,S07_가짜채용_업무사기,면접비·교육비 요구,채용 교육비 납부 - 제한 해제!!,"최종 채용을 위해 면접비와 사전 교육비를 먼저 납부해 주세요.
면접비 교육비 요구 요청 금액을 즉시 송금해야 처리가 취소되지 않습니다.
면접비 교육비 요구 제한 시간이 끝나기 전에 안내된 절차를 진행해 주세요.
면접비 교육비 요구 처리가 끝나면 완료 결과를 이 메일로 회신해 주세요.
지금 확인하여 처리를 마쳐 주세요.
면접비 교육비 요구 처리 페이지: https://example.invalid/official
[ATTACHMENT]에 있는 면접비 교육비 요구 문서를 실행한 뒤 결과를 회신해 주세요.
처리번호 S07-00013를 입력하면 요청을 바로 완료할 수 있습니다.","제목: 채용 교육비 납부 - 제한 해제!!
본문: 최종 채용을 위해 면접비와 사전 교육비를 먼저 납부해 주세요.
면접비 교육비 요구 요청 금액을 즉시 송금해야 처리가 취소되지 않습니다.
면접비 교육비 요구 제한 시간이 끝나기 전에 안내된 절차를 진행해 주세요.
면접비 교육비 요구 처리가 끝나면 완료 결과를 이 메일로 회신해 주세요.
지금 확인하여 처리를 마쳐 주세요.
면접비 교육비 요구 처리 페이지: https://example.invalid/official
[ATTACHMENT]에 있는 면접비 교육비 요구 문서를 실행한 뒤 결과를 회신해 주세요.
처리번호 S07-00013를 입력하면 요청을 바로 완료할 수 있습니다.","제목: 채용 교육비 납부 - 제한 해제!!
본문: 최종 채용을 위해 면접비와 사전 교육비를 먼저 납부해 주세요.
면접비 교육비 요구 요청 금액을 즉시 송금해야 처리가 취소되지 않습니다.
면접비 교육비 요구 제한 시간이 끝나기 전에 안내된 절차를 진행해 주세요.
면접비 교육비 요구 처리가 끝나면 완료 결과를 이 메일로 회신해 주세요.
지금 확인하여 처리를 마쳐 주세요.
면접비 교육비 요구 처리 페이지: [URL]
[ATTACHMENT]에 있는 면접비 교육비 요구 문서를 실행한 뒤 결과를 회신해 주세요.
처리번호 S07-00013를 입력하면 요청을 바로 완료할 수 있습니다.",사칭·기만·민감정보·송금·설치·비동의 광고 중 하나 이상의 위험 행동을 요구함,transfer_money,201-500,strong,special_character,normal,True,korean,formal,TFAM_05779_G01,,ai_generated,Final v1 enhancement rewrite/augmentation; ChatGPT 2026-07-18,FINAL_REBUILD_S07_01,pending,322,subject_body,False,TFAM_05779,ChatGPT,FINAL_S07_면접비·교육비 요구_V1,auto_pass,SGRP_05381,train,corrected,스팸 81~200자 과다 완화 및 짧은·장문 범위 보강; final_quality_scenario_rewrite; surface_artifact_cleanup; high_frequency_boilerplate_diversified
14,EMAIL_N15B_CPN_015,0,normal,email,N15_뉴스레터_프로모션,회원 쿠폰,,업데이트 https://example.invalid/official 확인 ✅,업데이트 https://example.invalid/official 확인 ✅,업데이트 [URL] 확인 ✅,정상적인 공식 절차 또는 동의된 커뮤니케이션이며 이메일 회신으로 민감정보를 요구하지 않음,click_link,10-30,light,emoji,normal,False,korean,promotional,TFAM_04178_G01,,ai_generated,Final v1 enhancement rewrite/augmentation; ChatGPT 2026-07-18,FINAL_REBUILD_N15_01,pending,15,body_only,False,TFAM_04178,ChatGPT,FINAL_N15_회원 쿠폰_V1,auto_pass,SGRP_03812,train,rewrite_rebalance,정상 31~80자 과다 완화 및 장문·중간 길이 문맥 보강; final_quality_compact_rewrite
15,EMAIL_S03D_MICRO_021,1,spam_or_fraud,email,S03_금융_카드_결제_사기,소액결제·수수료 사칭,소액결제 승인 확인 필요,"소액결제 수수료 사칭 제한 해제 주소는 https://example.invalid/notice?ref=mail&utm_source=notice입니다.
본인 확인이 안 된 소액결제가 발생했습니다. 지금 링크에서 인증하지 않으면 청구가 진행됩니다. 감사합니다.","제목: 소액결제 승인 확인 필요
본문: 소액결제 수수료 사칭 제한 해제 주소는 https://example.invalid/notice?ref=mail&utm_source=notice입니다.
본인 확인이 안 된 소액결제가 발생했습니다. 지금 링크에서 인증하지 않으면 청구가 진행됩니다. 감사합니다.","제목: 소액결제 승인 확인 필요
본문: 소액결제 수수료 사칭 제한 해제 주소는 [URL]
본인 확인이 안 된 소액결제가 발생했습니다. 지금 링크에서 인증하지 않으면 청구가 진행됩니다. 감사합니다.",소액결제 사칭 긴급 클릭 유도,click_link,81-200,strong,homoglyph,tracking,False,korean,formal,TFAM_05003_G01,,ai_generated,"Claude batch S03_04, prompt version 2.0",S03_04,pending,109,subject_body,False,TFAM_05003,Claude,,auto_pass,SGRP_04619,train,corrected,metadata_token_consistency_fix; high_frequency_boilerplate_diversified
16,EMAIL_S05B_FINE_048,1,spam_or_fraud,email,S05_정부기관_세금_환급_사칭,과태료·벌금 사칭,과태료·벌금 안내,"체납된 세금으로 재산 압류가 예정되어 있습니다. 오늘 중 계좌로 납부해 주세요. 자세한 내용은 공식 안내에서 확 인 가능함다. 잘 부탁드립니다.
과태료 벌금 사칭 처리 페이지: https://example.invalid/official","체납된 세금으로 재산 압류가 예정되어 있습니다. 오늘 중 계좌로 납부해 주세요. 자세한 내용은 공식 안내에서 확 인 가능함다. 잘 부탁드립니다.
과태료 벌금 사칭 처리 페이지: https://example.invalid/official","체납된 세금으로 재산 압류가 예정되어 있습니다. 오늘 중 계좌로 납부해 주세요. 자세한 내용은 공식 안내에서 확 인 가능함다. 잘 부탁드립니다.
과태료 벌금 사칭 처리 페이지: [URL]",압류 협박 사칭 송금 유도,transfer_money,81-200,light,spacing,normal,False,korean,formal,TFAM_05297_G01,,ai_generated,"Claude batch S05_02, prompt version 2.0",S05_02,pending,104,body_only,False,TFAM_05297,Claude,,auto_pass,SGRP_04908,valid,corrected,subject_repetition_cleanup; surface_artifact_cleanup; high_frequency_boilerplate_diversified
17,EMAIL_S16_THR_009,1,spam_or_fraud,email,S16_협박_채무_법적위협_사기,개인정보·영상 유포 협박,긴급급 - 채무 불이행 경고장,,긴급급 - 채무 불이행 경고장,긴급급 - 채무 불이행 경고장,허위 압류 협박 송금 유도,transfer_money,10-30,light,misspelling,none,False,korean,formal,TFAM_07412_G01,,ai_generated,"Claude batch S16_01, prompt version 2.0",S16_01,pending,16,subject_only,False,TFAM_07412,Claude,,auto_pass,SGRP_06985,train,unchanged,
18,EMAIL_N10B_POL_036,0,normal,email,N10_비밀번호_보안_안내,보안 정책·교육,랜섬웨어 예방 교육,랜섬웨어 예방을 위한 교육 자료를 첨부드립니다. 궁금하신 점 있으면 말씀해 주세요.,"제목: 랜섬웨어 예방 교육
본문: 랜섬웨어 예방을 위한 교육 자료를 첨부드립니다. 궁금하신 점 있으면 말씀해 주세요.","제목: 랜섬웨어 예방 교육
본문: 랜섬웨어 예방을 위한 교육 자료를 첨부드립니다. 궁금하신 점 있으면 말씀해 주세요.",정상 랜섬웨어 예방 교육,open_attachment,31-80,none,none,none,False,korean,formal,TFAM_03271_G01,,ai_generated,"Claude batch N10_02, prompt version 2.0",N10_02,pending,65,subject_body,False,TFAM_03271,Claude,,auto_pass,SGRP_02942,train,unchanged,
19,EMAIL_S16D_DEBT_030,1,spam_or_fraud,email,S16_협박_채무_법적위협_사기,가짜 채권추심,RE: 채무 원리금 완납 안내,"안녕하세요, 회신드립니다.
> 채무 원리금 완납을 위한 최종 안내입니다. 지금 계좌로 송금해 주세요. 감사합니다.
홧인 후 다시 연락드리겠습니다.
첨부된 [ATTACHMENT]를 열어 안내를 진행해 주세요.","제목: RE: 채무 원리금 완납 안내
본문: 안녕하세요, 회신드립니다.
> 채무 원리금 완납을 위한 최종 안내입니다. 지금 계좌로 송금해 주세요. 감사합니다.
홧인 후 다시 연락드리겠습니다.
첨부된 [ATTACHMENT]를 열어 안내를 진행해 주세요.","제목: RE: 채무 원리금 완납 안내
본문: 안녕하세요, 회신드립니다.
> 채무 원리금 완납을 위한 최종 안내입니다. 지금 계좌로 송금해 주세요. 감사합니다.
홧인 후 다시 연락드리겠습니다.
첨부된 [ATTACHMENT]를 열어 안내를 진행해 주세요.",허위 완납 안내 사칭,transfer_money,81-200,light,misspelling,none,True,korean,casual,TFAM_07385_G01,,ai_generated,"Claude batch S16_04, prompt version 2.0",S16_04,pending,140,reply_forward,False,TFAM_07385,Claude,,auto_pass,SGRP_06958,train,rewrite_surface_cleanup,surface_artifact_cleanup
20,EMAIL_S07B_ACCT_023,1,spam_or_fraud,email,S07_가짜채용_업무사기,카드·계좌 요구,채용 보증금 안내,"채용 확정을 위해 보증금을 먼저 입금해 주셔야 합니다. 자세한 내용은 공식 안내에서 확 인 가능합니다. 감사합니다.
카드 계좌 요구 처리 페이지: https://example.invalid/official
첨부된 [ATTACHMENT]를 열어 안내를 진행해 주세요.","제목: 채용 보증금 안내
본문: 채용 확정을 위해 보증금을 먼저 입금해 주셔야 합니다. 자세한 내용은 공식 안내에서 확 인 가능합니다. 감사합니다.
카드 계좌 요구 처리 페이지: https://example.invalid/official
첨부된 [ATTACHMENT]를 열어 안내를 진행해 주세요.","제목: 채용 보증금 안내
본문: 채용 확정을 위해 보증금을 먼저 입금해 주셔야 합니다. 자세한 내용은 공식 안내에서 확 인 가능합니다. 감사합니다.
카드 계좌 요구 처리 페이지: [URL]
첨부된 [ATTACHMENT]를 열어 안내를 진행해 주세요.",채용 보증금 명목 사기,transfer_money,81-200,light,spacing,normal,True,korean,formal,TFAM_05648_G01,,ai_generated,"Claude batch S07_02, prompt version 2.0",S07_02,pending,139,subject_body,False,TFAM_05648,Claude,,auto_pass,SGRP_05253,train,corrected,surface_artifact_cleanup; high_frequency_boilerplate_diversified
21,EMAIL_N03B_PAY_023,0,normal,email,N03_쇼핑_주문_결제,결제 완료·영수증,카드 승인 완료 안내,카드 결제가 승인 완료되었습니다. 승인번호는 첨부 영수증을 참고해 주세요. 감사합니다.,"제목: 카드 승인 완료 안내
본문: 카드 결제가 승인 완료되었습니다. 승인번호는 첨부 영수증을 참고해 주세요. 감사합니다.","제목: 카드 승인 완료 안내
본문: 카드 결제가 승인 완료되었습니다. 승인번호는 첨부 영수증을 참고해 주세요. 감사합니다.",정상 카드 승인 통지,information,31-80,none,none,none,False,korean,formal,TFAM_01943_G01,,ai_generated,"Claude batch N03_02, prompt version 2.0",N03_02,pending,68,subject_body,False,TFAM_01943,Claude,,auto_pass,SGRP_01681,train,unchanged,
22,EMAIL_S11C_FEE_049,1,spam_or_fraud,email,S11_로맨스_선입금_해외송금_사기,해외송금 수수료,보증금 예치 요청,거액 거래를 위한 보증금을 먼저 예치해 주셔야 합니다. 잘 부탁드립니다.,"제목: 보증금 예치 요청
본문: 거액 거래를 위한 보증금을 먼저 예치해 주셔야 합니다. 잘 부탁드립니다.","제목: 보증금 예치 요청
본문: 거액 거래를 위한 보증금을 먼저 예치해 주셔야 합니다. 잘 부탁드립니다.",보증금 명목 선입금 사기,transfer_money,31-80,strong,special_character,none,False,korean,formal,TFAM_06416_G01,,ai_generated,"Claude batch S11_03, prompt version 2.0",S11_03,pending,58,subject_body,False,TFAM_06416,Claude,,auto_pass,SGRP_06012,train,unchanged,
23,EMAIL_N03B_PAY_050,0,normal,email,N03_쇼핑_주문_결제,결제 완료·영수증,정기결제 승인 안내,"이번 달 정기결제가 정상적으로 승인되었습니다. 결제 완료 영수증 내용만 확인하면 별도 조치가 필요하지 않습니다. 잘 부탁드립니다.
결제 완료 영수증 공식 확인 페이지: https://example.invalid/official","제목: 정기결제 승인 안내
본문: 이번 달 정기결제가 정상적으로 승인되었습니다. 결제 완료 영수증 내용만 확인하면 별도 조치가 필요하지 않습니다. 잘 부탁드립니다.
결제 완료 영수증 공식 확인 페이지: https://example.invalid/official","제목: 정기결제 승인 안내
본문: 이번 달 정기결제가 정상적으로 승인되었습니다. 결제 완료 영수증 내용만 확인하면 별도 조치가 필요하지 않습니다. 잘 부탁드립니다.
결제 완료 영수증 공식 확인 페이지: [URL]",정상 정기결제 승인 통지,information,81-200,none,none,normal,False,korean,formal,TFAM_01969_G01,,ai_generated,"Claude batch N03_02, prompt version 2.0",N03_02,pending,118,subject_body,True,TFAM_01969,Claude,,auto_pass,SGRP_01705,valid,corrected,surface_artifact_cleanup; high_frequency_boilerplate_diversified
24,EMAIL_S03B_REF_049,1,spam_or_fraud,email,S03_금융_카드_결제_사기,결제 취소·환불 사칭,환불신청 https://example.invalid/official 입력,,환불신청 https://example.invalid/official 입력,환불신청 [URL] 입력,사칭·기만·민감정보·송금·설치·비동의 광고 중 하나 이상의 위험 행동을 요구함,enter_credential,10-30,none,none,normal,False,korean,formal,TFAM_04939_G01,,ai_generated,Final v1 enhancement rewrite/augmentation; ChatGPT 2026-07-18,FINAL_REBUILD_S03_01,pending,13,subject_only,False,TFAM_04939,ChatGPT,FINAL_S03_결제 취소·환불 사칭_V1,auto_pass,SGRP_04556,valid,rewrite_rebalance,스팸 81~200자 과다 완화 및 짧은·장문 범위 보강; final_quality_compact_rewrite
25,EMAIL_N14_PUB_006,0,normal,email,N14_학교_공공기관_의료_통신,학교·대학교 공지,긴급: [DATE] 학교·대학교 공지 관련 공지,"긴급: 공식 확인: hxxps://example[.]invalid/verify

학교 일정과 제출 사항을 안내드립니다. 세부 내용은 공식 학사 시스템에 게시되어 있습니다.
학교 대학교 공지 상세 내용은 등록된 공식 안내에서 확인해 주세요.
긴급: 변경은 공식 채널로 다시 안내됩니다.
긴급: 결과는 공식 기록에서 확인할 수 있습니다.
학교 대학교 공지 문의 시 접수번호를 함께 알려 주시면 기록을 빠르게 찾을 수 있습니다.
확인해 주셔서 감사합니다.
Confirm the sender before taking further action.
참조번호 N14-00025의 처리 내역을 공식 기록에서 확인할 수 있습니다.

참조번호 N14-00025의 처리 내역을 공식 기록에서 확인할 수 있습니다.","제목: 긴급: [DATE] 학교·대학교 공지 관련 공지
본문: 긴급: 공식 확인: hxxps://example[.]invalid/verify

학교 일정과 제출 사항을 안내드립니다. 세부 내용은 공식 학사 시스템에 게시되어 있습니다.
학교 대학교 공지 상세 내용은 등록된 공식 안내에서 확인해 주세요.
긴급: 변경은 공식 채널로 다시 안내됩니다.
긴급: 결과는 공식 기록에서 확인할 수 있습니다.
학교 대학교 공지 문의 시 접수번호를 함께 알려 주시면 기록을 빠르게 찾을 수 있습니다.
확인해 주셔서 감사합니다.
Confirm the sender before taking further action.
참조번호 N14-00025의 처리 내역을 공식 기록에서 확인할 수 있습니다.

참조번호 N14-00025의 처리 내역을 공식 기록에서 확인할 수 있습니다.","제목: 긴급: [DATE] 학교·대학교 공지 관련 공지
본문: 긴급: 공식 확인: [URL]

학교 일정과 제출 사항을 안내드립니다. 세부 내용은 공식 학사 시스템에 게시되어 있습니다.
학교 대학교 공지 상세 내용은 등록된 공식 안내에서 확인해 주세요.
긴급: 변경은 공식 채널로 다시 안내됩니다.
긴급: 결과는 공식 기록에서 확인할 수 있습니다.
학교 대학교 공지 문의 시 접수번호를 함께 알려 주시면 기록을 빠르게 찾을 수 있습니다.
확인해 주셔서 감사합니다.
Confirm the sender before taking further action.
참조번호 N14-00025의 처리 내역을 공식 기록에서 확인할 수 있습니다.

참조번호 N14-00025의 처리 내역을 공식 기록에서 확인할 수 있습니다.",정상적인 공식 절차 또는 동의된 커뮤니케이션이며 이메일 회신으로 민감정보를 요구하지 않음,submit_document,201-500,strong,url_obfuscation,obfuscated,False,korean,urgent,TFAM_04130_G01,,ai_generated,Final v1 enhancement rewrite/augmentation; ChatGPT 2026-07-18,FINAL_REBUILD_N14_01,pending,395,subject_body,True,TFAM_04130,ChatGPT,FINAL_N14_학교·대학교 공지_V1,auto_pass,SGRP_03764,train,corrected,정상 31~80자 과다 완화 및 장문·중간 길이 문맥 보강; final_quality_scenario_rewrite; surface_artifact_cleanup; high_frequency_boilerplate_diversified; secondary_boilerplate_diversified; required_metadata_token_restored
26,EMAIL_N09C_RES_001,0,normal,email,N09_정상_채용,합격·불합격 결과,RE: 최종 합격을 축하드립니다,"안녕하세요, 회신드립니다.
> 최종 합격하셨습니다. 입사 절차 안내는 첨부 문서를 참고해 주세요.
확 인 후 다시 연락드리겠습니다.
[ATTACHMENT]를 열기 전 합격 불합격 결과 담당 부서와 파일명을 확인해 주세요.","제목: RE: 최종 합격을 축하드립니다
본문: 안녕하세요, 회신드립니다.
> 최종 합격하셨습니다. 입사 절차 안내는 첨부 문서를 참고해 주세요.
확 인 후 다시 연락드리겠습니다.
[ATTACHMENT]를 열기 전 합격 불합격 결과 담당 부서와 파일명을 확인해 주세요.","제목: RE: 최종 합격을 축하드립니다
본문: 안녕하세요, 회신드립니다.
> 최종 합격하셨습니다. 입사 절차 안내는 첨부 문서를 참고해 주세요.
확 인 후 다시 연락드리겠습니다.
[ATTACHMENT]를 열기 전 합격 불합격 결과 담당 부서와 파일명을 확인해 주세요.",정상 최종 합격 통지,information,81-200,light,spacing,none,True,korean,casual,TFAM_03103_G01,,ai_generated,"Claude batch N09_03, prompt version 2.0",N09_03,pending,149,reply_forward,False,TFAM_03103,Claude,,auto_pass,SGRP_02784,train,corrected,surface_artifact_cleanup; high_frequency_boilerplate_diversified
